ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0048608	reproductive structure development	26/686	210/12179	0.000128496277231083	0.00475657771060577	0.00371846304981782	ADAMTS1/PTX3/INHBB/FST/CITED2/RHOBTB3/LEP/ING2/ALOX15B/SOX9/HMGB2/LGR4/VEGFA/GDF7/TGFB2/FGF10/TNFAIP6/DMC1/MERTK/FGFR2/ANG/LFNG/SFRP2/KIF18A/CYP19A1/CHD7	26
GO:1902105	regulation of leukocyte differentiation	26/686	210/12179	0.000128496277231083	0.00475657771060577	0.00371846304981782	SOX4/FSTL3/ZBTB16/TGFBR2/FOXO3/LIF/PIK3R1/NEDD9/SMARCD2/DUSP10/RASSF2/LRRC17/SOCS1/GPR68/IL34/UBASH3B/TNFAIP6/MAFB/TNFRSF11B/CAMK4/PRDM1/EGR3/INPP5D/TNFSF9/IL4I1/CCR1	26
GO:0060349	bone morphogenesis	14/686	80/12179	0.000133868335976803	0.00491308234772985	0.00384081082708074	COL1A1/TGFBR2/CBS/CITED2/TMEM119/DHRS3/SOX9/AXIN2/COL27A1/STC1/SFRP4/FGFR2/ACP5/SP5	14
GO:0009914	hormone transport	25/686	199/12179	0.000136426392108764	0.00496057907341208	0.00387794147650605	CCKAR/SOX4/INHBB/RAB11FIP1/CCN3/FOXO1/IRS2/C1QTNF1/ABAT/LIF/PRKCE/LEP/GPR68/AGT/ADCY8/ADRA2A/TRPV6/PER2/ADORA1/CYP19A1/RAPGEF4/EPHA5/ACVR1C/SLC7A5/CHD7	25
GO:0030856	regulation of epithelial cell differentiation	16/686	100/12179	0.000137472964540298	0.00496057907341208	0.00387794147650605	ERRFI1/FST/AQP3/LIF/MAFF/NCOA3/ALOX15B/CDKN2B/GDNF/SOX9/VEGFA/FGF10/FRZB/SFRP4/XDH/TMEM100	16
GO:0009308	amine metabolic process	14/686	81/12179	0.000153620798626208	0.00545489997497939	0.00426437771681643	MAOA/VCAM1/ABAT/GPR37/SAT1/SLC7A11/CHDH/GCH1/TGFB2/INMT/SNCAIP/GRIN2A/MAOB/IL4I1	14
GO:0042573	retinoic acid metabolic process	6/686	16/12179	0.000153712831153355	0.00545489997497939	0.00426437771681643	CRABP2/ALDH1A3/ADH1B/ADH1A/ADH1C/RBP1	6
GO:0045926	negative regulation of growth	24/686	189/12179	0.000156250426283462	0.00549950270869826	0.00429924598289872	MT2A/CCN3/GDF15/MT1E/JADE1/CITED2/NKD1/WFDC1/ALOX15B/DUSP10/SEMA3A/FGF13/MT1X/ULK2/MT1M/BRCA1/BDKRB1/TGFB2/SEMA6D/FRZB/PI16/SFRP2/MSTN/ENPP1	24
GO:0002762	negative regulation of myeloid leukocyte differentiation	9/686	37/12179	0.000161946236884566	0.00565363529416527	0.00441973940457751	FSTL3/PIK3R1/LRRC17/GPR68/UBASH3B/TNFAIP6/MAFB/TNFRSF11B/INPP5D	9
GO:0007548	sex differentiation	24/686	190/12179	0.000169572721773171	0.00586985053723702	0.00458876605379571	ADAMTS1/PTX3/INHBB/LHFPL2/FST/CITED2/RHOBTB3/LEP/ING2/SOX9/HMGB2/LGR4/VEGFA/TGFB2/FGF10/TNFAIP6/DMC1/MERTK/ANG/LFNG/SFRP2/KIF18A/CYP19A1/CHD7	24
GO:0016101	diterpenoid metabolic process	11/686	54/12179	0.000173120504772745	0.00586985053723702	0.00458876605379571	CRABP2/PNPLA2/DHRS3/ALDH1A3/HSD17B6/ADH1B/ADH1A/ADH1C/PLB1/ABCA4/RBP1	11
GO:0042472	inner ear morphogenesis	12/686	63/12179	0.00017421577931303	0.00586985053723702	0.00458876605379571	COL11A1/TBX18/EPHB2/ALDH1A3/SOX9/SLITRK6/ITGA8/FGF10/MAFB/FRZB/FGFR2/CHD7	12
GO:0061337	cardiac conduction	12/686	63/12179	0.00017421577931303	0.00586985053723702	0.00458876605379571	CACNB2/TBX18/ABCC9/CORIN/ATP2A2/AGT/SCN1B/SPTBN4/KCNE3/CACNA1G/KCND3/PKP2	12
GO:0061458	reproductive system development	26/686	214/12179	0.000174974585180796	0.00586985053723702	0.00458876605379571	ADAMTS1/PTX3/INHBB/FST/CITED2/RHOBTB3/LEP/ING2/ALOX15B/SOX9/HMGB2/LGR4/VEGFA/GDF7/TGFB2/FGF10/TNFAIP6/DMC1/MERTK/FGFR2/ANG/LFNG/SFRP2/KIF18A/CYP19A1/CHD7	26
GO:1903131	mononuclear cell differentiation	34/686	313/12179	0.000177389913834126	0.00590474643413749	0.00461604598300308	VCAM1/SOX4/ZBTB16/TGFBR2/FZD8/FOXO3/PIK3R1/PIK3R3/SMARCD2/LEP/DUSP10/KLF6/NFIL3/SOCS1/GPR68/VEGFA/TNFSF13B/FZD5/IL34/MAFB/CAMK4/BATF3/MERTK/PRDM1/BLNK/LFNG/EGR3/INPP5D/IL31RA/PLCG2/TNFSF9/BATF2/IL4I1/CHD7	34
GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	32/686	288/12179	0.000180512393142548	0.00596246320118538	0.00466116616786708	INHBB/FSTL3/CCN3/FST/GDF15/TGFBR2/FBN2/CITED2/ING2/BMPER/CDKN2B/CILP/CRIM1/SAP30/ITGA8/JUN/GDF7/TGFB2/THBS1/RASL11B/FGF10/TNFAIP6/CCN1/FSTL5/PMEPA1/CHRDL2/GDF5/SFRP4/SFRP2/MSTN/ACVR1C/TMEM100	32
GO:0006941	striated muscle contraction	17/686	113/12179	0.000186548327152051	0.00611479783809853	0.00478025404007947	CACNB2/PDE5A/ABCC9/SGCD/ATP2A2/CLIC2/ADRA1B/FGF13/NEDD4L/SCN1B/KCNE3/STC1/NR4A1/CACNA1G/KCND3/ADORA1/PKP2	17
GO:0043500	muscle adaptation	13/686	73/12179	0.000192384612795849	0.00617705064580481	0.00482892028276213	KLF15/FOXO1/LMCD1/PDE5A/NR4A3/FOXO3/CFLAR/ATP2A2/AGT/PI16/MYOZ2/HMOX1/MSTN	13
GO:0019233	sensory perception of pain	10/686	46/12179	0.000193264112917279	0.00617705064580481	0.00482892028276213	CXCL12/CCN3/TRPA1/P2RX7/LXN/KCND2/ADORA1/GRIN2A/TMEM100/HTR2A	10
GO:0048644	muscle organ morphogenesis	10/686	46/12179	0.000193264112917279	0.00617705064580481	0.00482892028276213	ADARB1/WNT2/COL11A1/LIF/S1PR1/TGFB2/NRG1/FGFR2/PKP2/CHD7	10
GO:0045779	negative regulation of bone resorption	5/686	11/12179	0.000194201638841092	0.00617705064580481	0.00482892028276213	TMEM119/P2RX7/UBASH3B/TNFRSF11B/INPP5D	5
GO:0002688	regulation of leukocyte chemotaxis	14/686	83/12179	0.000200783961460053	0.00629670373745932	0.00492245929908508	DUSP1/CXCL12/CCN3/DAPK2/NEDD9/VEGFA/THBS1/IL34/TNFAIP6/IL12A/CYP19A1/MSTN/CCL7/CCR1	14
GO:0021545	cranial nerve development	9/686	38/12179	0.000201736375863445	0.00629670373745932	0.00492245929908508	ADARB1/PLXNA4/CITED2/EPHB2/SLITRK6/MAFB/EGR2/KCNA3/CHD7	9
GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	25/686	204/12179	0.000202362625936047	0.00629670373745932	0.00492245929908508	FSTL3/CCN3/FST/TGFBR2/FBN2/CITED2/ING2/BMPER/CDKN2B/CILP/CRIM1/SAP30/ITGA8/GDF7/THBS1/RASL11B/FGF10/TNFAIP6/CCN1/FSTL5/PMEPA1/CHRDL2/GDF5/SFRP4/SFRP2	25
GO:0046879	hormone secretion	24/686	193/12179	0.000215784402529793	0.00665169439248133	0.0051999738723857	CCKAR/SOX4/INHBB/RAB11FIP1/CCN3/FOXO1/IRS2/C1QTNF1/ABAT/LIF/PRKCE/LEP/GPR68/AGT/ADCY8/ADRA2A/TRPV6/PER2/ADORA1/CYP19A1/RAPGEF4/EPHA5/ACVR1C/CHD7	24
GO:0043068	positive regulation of programmed cell death	42/686	421/12179	0.000216869402642614	0.00665169439248133	0.0051999738723857	SOX4/INHBB/TSC22D1/ZBTB16/FOXO1/ATF3/CTSC/DAPK2/FOXO3/CFLAR/LEP/ALDH1A3/ATP2A2/GADD45B/RHOB/RASSF2/P2RX7/MIAT/JUN/STK17B/TGFB2/THBS1/AGT/G0S2/CCN1/FRZB/NR4A1/IL12A/H19/CAMK2A/SFRP4/RGCC/SFRP2/SEPTIN4/HMOX1/INPP5D/CSRNP3/PTGS2/GRIN2A/ACVR1C/GADD45G/HTR2A	42
GO:0050680	negative regulation of epithelial cell proliferation	16/686	104/12179	0.000219780579044215	0.00669317593202737	0.00523240213939531	KLF9/DUSP10/CDKN2B/ROBO1/LIMS2/SOX9/TGFB2/THBS1/MTSS1/COL4A3/GDF5/IL12A/FGFR2/RGCC/SFRP2/XDH	16
GO:0043065	positive regulation of apoptotic process	41/686	409/12179	0.000232247634336877	0.00702303761860952	0.00549027209711121	SOX4/INHBB/ZBTB16/FOXO1/ATF3/CTSC/DAPK2/FOXO3/CFLAR/LEP/ALDH1A3/ATP2A2/GADD45B/RHOB/RASSF2/P2RX7/MIAT/JUN/STK17B/TGFB2/THBS1/AGT/G0S2/CCN1/FRZB/NR4A1/IL12A/H19/CAMK2A/SFRP4/RGCC/SFRP2/SEPTIN4/HMOX1/INPP5D/CSRNP3/PTGS2/GRIN2A/ACVR1C/GADD45G/HTR2A	41
GO:0010631	epithelial cell migration	29/686	255/12179	0.000241169467589739	0.00717270187321536	0.00560727239322526	CCN3/AMOT/IRS2/DAAM2/TGFBR2/PIK3R3/PRKCE/DUSP10/RHOJ/PLK2/BMPER/GLUL/ROBO1/RHOB/SOX9/KANK1/ENPP2/VEGFA/TGFB2/THBS1/FGF10/AGT/STC1/NR4A1/RGCC/EGR3/HMOX1/PTGS2/PLCG2	29
GO:0090132	epithelium migration	29/686	255/12179	0.000241169467589739	0.00717270187321536	0.00560727239322526	CCN3/AMOT/IRS2/DAAM2/TGFBR2/PIK3R3/PRKCE/DUSP10/RHOJ/PLK2/BMPER/GLUL/ROBO1/RHOB/SOX9/KANK1/ENPP2/VEGFA/TGFB2/THBS1/FGF10/AGT/STC1/NR4A1/RGCC/EGR3/HMOX1/PTGS2/PLCG2	29
GO:0050808	synapse organization	36/686	344/12179	0.000242208144298143	0.00717270187321536	0.00560727239322526	SPARCL1/CACNB2/SORT1/PLXNA4/PDLIM5/EPHB2/COL4A1/OXTR/FLRT3/APBB2/WASF3/TUBA1A/RPS6KA5/NEDD9/NEGR1/EPHB3/TUBB/GDNF/CDH6/SLC7A11/FGF13/LRRTM2/RHOB/CTTNBP2/SLITRK6/FZD5/CDH10/RAC3/SPTBN4/DRP2/PAK3/EPHA4/PCDHGC5/LRRN1/LRRC4/ASIC2	36
GO:0051962	positive regulation of nervous system development	25/686	207/12179	0.000254287862160223	0.00747884986380819	0.00584660412710129	CXCL12/WNT2/PLXNA4/CRABP2/EPHB2/OXTR/FLRT3/LIF/RND2/EPHB3/ROBO1/LRRTM2/SLITRK6/TENM4/VEGFA/CDON/IL34/HAPLN3/EGR2/CDH4/EPHA4/NGF/LRRN1/SLC7A5/ASIC2	25
GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	7/686	24/12179	0.000259721718089831	0.00758670107127711	0.00593091699955941	ARHGEF2/CFLAR/FAIM2/HMGB2/BRCA1/SFRP2/HMOX1	7
GO:0090287	regulation of cellular response to growth factor stimulus	28/686	244/12179	0.000264358303023664	0.00766996319718659	0.00599600731395779	FSTL3/FST/FBN2/CITED2/CFLAR/ING2/BMPER/CDKN2B/ROBO1/CILP/CRIM1/SAP30/ITGA8/VEGFA/THBS1/RASL11B/FGF10/AGT/TNFAIP6/CCN1/FSTL5/PMEPA1/CHRDL2/GDF5/IL12A/SFRP4/SFRP2/XDH	28
GO:0050804	modulation of chemical synaptic transmission	34/686	320/12179	0.000269734101358126	0.00777341094786437	0.00607687777627031	DNM1/LAMA2/FAM107A/SLC6A6/SLC6A9/EPHB2/OXTR/ADCY1/PRKCE/PLK2/ATP2A2/SLC7A11/LRRTM2/SLC38A2/MCTP1/GRIK4/PLPPR4/ADCY8/EGR2/CAMK2A/ADRA2A/GRIK1/SORCS2/SNCAIP/EPHA4/KCNQ3/ADORA1/NGF/PTGS2/LGI1/GRIN2A/LRRC4/BEGAIN/HTR2A	34
GO:0048839	inner ear development	17/686	117/12179	0.000285836664947898	0.0081315832881315	0.00635687963764649	COL11A1/TBX18/CEBPD/EPHB2/ALDH1A3/BMPER/SOX9/SLITRK6/ITGA8/TGFB2/FGF10/MAFB/PLPPR4/FRZB/FGFR2/EPHA4/CHD7	17
GO:0099177	regulation of trans-synaptic signaling	34/686	321/12179	0.000285949947952458	0.0081315832881315	0.00635687963764649	DNM1/LAMA2/FAM107A/SLC6A6/SLC6A9/EPHB2/OXTR/ADCY1/PRKCE/PLK2/ATP2A2/SLC7A11/LRRTM2/SLC38A2/MCTP1/GRIK4/PLPPR4/ADCY8/EGR2/CAMK2A/ADRA2A/GRIK1/SORCS2/SNCAIP/EPHA4/KCNQ3/ADORA1/NGF/PTGS2/LGI1/GRIN2A/LRRC4/BEGAIN/HTR2A	34
GO:0044703	multi-organism reproductive process	19/686	139/12179	0.00028831906464227	0.00813524548206459	0.00635974256423993	IGFBP2/CBS/CITED2/OXTR/CORIN/LIF/MAFF/LEP/SLC38A2/VEGFA/STC1/PSG1/PRDM1/ADRA2A/RXFP1/HSD11B2/PTGS2/ACVR1C/TPPP3	19
GO:0048771	tissue remodeling	18/686	128/12179	0.000289867852528151	0.00813524548206459	0.00635974256423993	CBS/TMEM119/LIF/LEP/S1PR1/RASSF2/P2RX7/LGR4/FGF10/AGT/UBASH3B/TNFRSF11B/GDF5/PDK4/ACP5/INPP5D/SIGLEC15/CHD7	18
GO:0007517	muscle organ development	28/686	246/12179	0.000302701972636077	0.00841898688994406	0.00658155791239467	ADARB1/WNT2/COL11A1/LAMA2/ITGA11/ATF3/CITED2/KLF5/SGCD/CFLAR/LIF/MAFF/S1PR1/TAGLN/SAP30/TGFB2/CDON/NR4A1/NRG1/EGR2/FGFR2/MYOZ2/EGR3/HLF/MSTN/PKP2/RCAN1/CHD7	28
GO:0050982	detection of mechanical stimulus	8/686	32/12179	0.000305772468904033	0.00841898688994406	0.00658155791239467	CXCL12/COL11A1/PIEZO2/TRPA1/PKD1L2/TMC2/ASIC2/HTR2A	8
GO:1902041	regulation of extrinsic apoptotic signaling pathway via death domain receptors	9/686	40/12179	0.000305859793859169	0.00841898688994406	0.00658155791239467	ATF3/ARHGEF2/CFLAR/FAIM2/HMGB2/BRCA1/THBS1/SFRP2/HMOX1	9
GO:0007263	nitric oxide mediated signal transduction	6/686	18/12179	0.000323377773741609	0.00884448509838515	0.00691419189045921	PDE5A/CBS/DDAH1/VEGFA/THBS1/AGT	6
GO:0060485	mesenchyme development	27/686	235/12179	0.000331701884053377	0.00894488989896977	0.00699268352114691	PDPN/SOX4/WNT2/COL1A1/TGFBR2/CITED2/ACTA2/SLC39A10/SEMA3A/GDNF/ROBO1/SOX9/AXIN2/TGFB2/SEMA6D/FGF10/AGT/FRZB/NRG1/FGFR2/ADAMTS5/ACTG2/FAM83D/RGCC/SFRP2/EPHA4/TMEM100	27
GO:0030278	regulation of ossification	14/686	87/12179	0.000333433914473415	0.00894488989896977	0.00699268352114691	ZBTB16/GPM6B/FBN2/TMEM119/TENT5A/DHRS3/PKDCC/S1PR1/P2RX7/SOX9/CCN1/EGR2/ENPP1/CCR1	14
GO:0035914	skeletal muscle cell differentiation	10/686	49/12179	0.000334379708142126	0.00894488989896977	0.00699268352114691	ATF3/CITED2/KLF5/MAFF/SAP30/CDON/NR4A1/EGR2/HLF/MSTN	10
GO:0030500	regulation of bone mineralization	11/686	58/12179	0.000335381293370781	0.00894488989896977	0.00699268352114691	GPM6B/FBN2/TMEM119/TENT5A/PKDCC/S1PR1/P2RX7/SOX9/CCN1/ENPP1/CCR1	11
GO:0021952	central nervous system projection neuron axonogenesis	7/686	25/12179	0.000343358075696515	0.00899011937220022	0.00702804174195242	ADARB1/PLXNA4/EPHB2/EPHB3/SCN1B/SPTBN4/EPHA4	7
GO:0048483	autonomic nervous system development	7/686	25/12179	0.000343358075696515	0.00899011937220022	0.00702804174195242	VCAM1/SOX4/ADARB1/PLXNA4/SEMA3A/GDNF/EGR2	7
GO:0051955	regulation of amino acid transport	7/686	25/12179	0.000343358075696515	0.00899011937220022	0.00702804174195242	ABAT/LEP/SLC38A2/P2RX7/PER2/ADORA1/SLC7A5	7
GO:0010035	response to inorganic substance	38/686	377/12179	0.000349857018092688	0.00910476385266669	0.00711766526760818	MT2A/VCAM1/INHBB/COL1A1/IMPA2/FOXO1/MT1E/ADCY1/ABAT/AQP3/TUBA1A/CFLAR/MT1X/TRPA1/RHOB/SLC38A2/P2RX7/FIBIN/RASGRP2/MT1M/GCH1/JUN/THBS1/TNFRSF11B/ADCY8/CACNA1G/H19/TRPV6/HMOX1/KCNQ3/ADORA1/FABP4/HBA1/PTGS2/PLCG2/ENPP1/MAOB/HBA2	38
GO:0003007	heart morphogenesis	23/686	188/12179	0.000367857899169951	0.00949996459924758	0.00742661415120254	ADAMTS1/SOX4/WNT2/COL11A1/TGFBR2/CITED2/ABCC9/DHRS3/S1PR1/ROBO1/MICAL2/SOX9/AXIN2/VEGFA/TGFB2/CCN1/NRG1/FGFR2/ADAMTS5/SFRP2/TMEM100/PKP2/CHD7	23
GO:0050867	positive regulation of cell activation	28/686	249/12179	0.000369467649761142	0.00949996459924758	0.00742661415120254	VCAM1/SOX4/ZBTB16/IRS2/TGFBR2/IGFBP2/NR4A3/TSLP/CTSC/EPHB2/FOXO3/PLA2G4A/ACTA2/SMARCD2/SLC39A10/LEP/DUSP10/MAP3K8/SOCS1/TNFSF13B/THBS1/FGF10/IL12A/EGR3/INPP5D/TNFSF9/ICOSLG/IL4I1	28
GO:2000027	regulation of animal organ morphogenesis	14/686	88/12179	0.000376420483542092	0.00962112831148657	0.00752133409784293	WNT2/CITED2/NKD1/GDNF/ROBO1/SOX9/LGR4/VEGFA/FGF10/AGT/RSPO2/TNFRSF11B/SFRP2/APCDD1	14
GO:0001501	skeletal system development	39/686	392/12179	0.000381749574874119	0.00964126239207128	0.00753707395100025	COL11A1/COL1A1/CCN3/FST/ZBTB16/TGFBR2/CBS/FBN2/CITED2/TMEM119/DHRS3/TRIM45/LEP/PKDCC/PRKG2/CCN2/RASSF2/P2RX7/LRRC17/SOX9/AXIN2/GPR68/TGFB2/RSPO2/TNFRSF11B/CCN1/FRZB/COL27A1/STC1/CHRDL2/GDF5/HAPLN3/SFRP4/FGFR2/SFRP2/ACP5/SIGLEC15/SP5/CHD7	39
GO:0032924	activin receptor signaling pathway	8/686	33/12179	0.000383944077560361	0.00964126239207128	0.00753707395100025	INHBB/FSTL3/FST/TGFBR2/CITED2/GDF7/FGF10/ACVR1C	8
GO:0042572	retinol metabolic process	8/686	33/12179	0.000383944077560361	0.00964126239207128	0.00753707395100025	PNPLA2/DHRS3/ALDH1A3/HSD17B6/ADH1B/ADH1A/ADH1C/PLB1	8
GO:0098739	import across plasma membrane	17/686	120/12179	0.000387758115319253	0.00968042643709808	0.00756769051256485	STEAP2/SLC6A6/SLC6A9/ACSL1/IRS2/SCN7A/ABCC9/SLC39A10/SLC5A6/SLC7A11/SLC38A2/THBS1/CACNA1G/TRPV6/PER2/RAMP3/SLC7A5	17
GO:0001894	tissue homeostasis	22/686	177/12179	0.000392481686341885	0.00968164936635851	0.00756864653968016	TJP2/LAMA2/TMEM119/APBB2/TUBA1A/LDB2/S1PR1/CCN2/P2RX7/SOX9/VEGFA/UBASH3B/RAC3/TNFRSF11B/CRACD/CUBN/PDK4/ACP5/INPP5D/PTGS2/ABCA4/SIGLEC15	22
GO:0060249	anatomical structure homeostasis	22/686	177/12179	0.000392481686341885	0.00968164936635851	0.00756864653968016	TJP2/LAMA2/TMEM119/APBB2/TUBA1A/LDB2/S1PR1/CCN2/P2RX7/SOX9/VEGFA/UBASH3B/RAC3/TNFRSF11B/CRACD/CUBN/PDK4/ACP5/INPP5D/PTGS2/ABCA4/SIGLEC15	22
GO:0070371	ERK1 and ERK2 cascade	25/686	213/12179	0.000394571178181821	0.00968164936635851	0.00756864653968016	ATF3/EPHB2/NEK10/OXTR/CFLAR/LIF/ACTA2/DUSP10/BMPER/DUSP5/CCN2/SOX9/FGF10/CCN1/NRG1/LMO3/CCL8/FGFR2/FAM83D/EPHA4/RAMP3/CCL7/PSCA/HTR2A/CCR1	25
GO:0010720	positive regulation of cell development	33/686	314/12179	0.000402658114993281	0.00982394287375652	0.00767988474110988	CXCL12/SOX4/WNT2/PLXNA4/ZBTB16/PDE5A/TGFBR2/CRABP2/EPHB2/FOXO3/LIF/NEDD9/SMARCD2/RND2/DUSP10/ROBO1/SOCS1/GPR68/TENM4/VEGFA/CDON/IL34/HAPLN3/EGR2/EGR3/CDH4/EPHA4/INPP5D/NGF/SLC7A5/TNFSF9/IL4I1/CCR1	33
GO:0007626	locomotory behavior	18/686	132/12179	0.000425241583585206	0.0103163127678807	0.00806479577789606	CXCL12/ABAT/TUBA1A/PPP1R1B/GPR37/PRKCE/NEGR1/ALDH1A3/GDNF/SLITRK6/CHL1/SPTBN4/ADCY8/RASD2/EPHA4/KCND2/RCAN1/CHD7	18
GO:0002685	regulation of leukocyte migration	20/686	155/12179	0.000436823459901557	0.0105377524540297	0.00823790664474314	DUSP1/CXCL12/CCN3/DAPK2/PIK3R1/NEDD9/APOD/BDKRB1/VEGFA/THBS1/IL34/RAC3/TNFAIP6/IL12A/HMOX1/ADORA1/CYP19A1/MSTN/CCL7/CCR1	20
GO:0060351	cartilage development involved in endochondral bone morphogenesis	7/686	26/12179	0.000447257940105105	0.0106789648117745	0.00834829965551664	COL1A1/TGFBR2/CBS/SOX9/AXIN2/COL27A1/STC1	7
GO:0045596	negative regulation of cell differentiation	44/686	463/12179	0.000447871008038981	0.0106789648117745	0.00834829965551664	SORT1/SOX4/FSTL3/TSC22D1/CCN3/FST/ZBTB16/FOXO1/DAAM2/EPHB2/TMEM119/PIK3R1/DUSP10/SEMA3A/CDKN2B/TENT5C/FGF13/ULK2/LRRC17/SOX9/CRIM1/SOCS1/TRIB3/AXIN2/GPR68/VEGFA/TGFB2/SEMA6D/FGF10/UBASH3B/TNFAIP6/MAFB/TNFRSF11B/FRZB/GDF5/LBH/PI16/SFRP2/EPHA4/INPP5D/MSTN/XDH/ENPP1/PKP2	44
GO:0060537	muscle tissue development	32/686	303/12179	0.000450138013724078	0.0106789648117745	0.00834829965551664	WNT2/COL11A1/TBX18/PDLIM5/ATF3/CITED2/KLF5/SGCD/CFLAR/MAFF/S1PR1/SOX9/SAP30/ITGA8/TENM4/VEGFA/TGFB2/CDON/ALPK3/NR4A1/NRG1/EGR2/PI16/CACNA1G/FGFR2/MYOZ2/HLF/MSTN/PKP2/RCAN1/NEBL/CHD7	32
GO:0044706	multi-multicellular organism process	19/686	144/12179	0.000454272956838758	0.0107178465750859	0.0083786955428502	IGFBP2/CBS/CITED2/OXTR/CORIN/LIF/MAFF/LEP/SLC38A2/VEGFA/STC1/PSG1/PRDM1/ADRA2A/RXFP1/HSD11B2/PTGS2/ACVR1C/TPPP3	19
GO:0050878	regulation of body fluid levels	27/686	240/12179	0.000463958628489732	0.0108865483646716	0.0085105784656529	PDPN/C1QTNF1/HPS5/RAP2B/EPHB2/OXTR/AQP3/PLA2G4A/PRKCE/SLC7A11/CORO2B/TSPAN8/VEGFA/THBS1/FGF10/UBASH3B/MERTK/ADRA2A/HPSE/NFE2/BTC/ADORA1/HSD11B2/PLCG2/DGKB/TSPAN32/XDH	27
GO:0002042	cell migration involved in sprouting angiogenesis	10/686	51/12179	0.00046960420530823	0.010959132921704	0.00856732157167017	PIK3R3/RHOJ/PLK2/ROBO1/VEGFA/THBS1/NR4A1/EGR3/HMOX1/PTGS2	10
GO:0050920	regulation of chemotaxis	20/686	156/12179	0.000475288815317803	0.0109674607730639	0.00857383188422054	DUSP1/CXCL12/PLXNA4/CCN3/DAPK2/NEDD9/S1PR1/SEMA3A/ROBO1/VEGFA/THBS1/SEMA6D/IL34/FGF10/TNFAIP6/IL12A/CYP19A1/MSTN/CCL7/CCR1	20
GO:0021955	central nervous system neuron axonogenesis	8/686	34/12179	0.000477623466363054	0.0109674607730639	0.00857383188422054	ADARB1/PLXNA4/EPHB2/EPHB3/ARHGEF28/SCN1B/SPTBN4/EPHA4	8
GO:1900744	regulation of p38MAPK cascade	8/686	34/12179	0.000477623466363054	0.0109674607730639	0.00857383188422054	DUSP1/PER1/LEP/DUSP10/GADD45B/VEGFA/XDH/GADD45G	8
GO:0032355	response to estradiol	13/686	80/12179	0.000488972415612983	0.0110644857973276	0.00864968136878333	COL1A1/IGFBP2/OXTR/CFLAR/NCOA3/LEP/POSTN/MMP15/FGF10/KIF18A/CYP19A1/RAMP3/PTGS2	13
GO:0038065	collagen-activated signaling pathway	5/686	13/12179	0.000492155749252347	0.0110644857973276	0.00864968136878333	COL1A1/ITGA11/COL4A1/UBASH3B/COL4A3	5
GO:0046851	negative regulation of bone remodeling	5/686	13/12179	0.000492155749252347	0.0110644857973276	0.00864968136878333	TMEM119/P2RX7/UBASH3B/TNFRSF11B/INPP5D	5
GO:0090190	positive regulation of branching involved in ureteric bud morphogenesis	5/686	13/12179	0.000492155749252347	0.0110644857973276	0.00864968136878333	GDNF/SOX9/LGR4/VEGFA/AGT	5
GO:0002696	positive regulation of leukocyte activation	27/686	242/12179	0.000528659428130695	0.0118232478353813	0.00924284493590343	VCAM1/SOX4/ZBTB16/IRS2/TGFBR2/IGFBP2/NR4A3/TSLP/CTSC/EPHB2/FOXO3/PLA2G4A/SMARCD2/SLC39A10/LEP/DUSP10/MAP3K8/SOCS1/TNFSF13B/THBS1/FGF10/IL12A/EGR3/INPP5D/TNFSF9/ICOSLG/IL4I1	27
GO:1901615	organic hydroxy compound metabolic process	39/686	399/12179	0.000541802368561846	0.0120002620554707	0.00938122611597483	MAOA/ACSS1/IMPA2/INPP5A/PRKAG2/PNPLA2/DHRS3/ABAT/PLA2G4A/GPR37/LEP/ALDH1A3/ALOX15B/PSAT1/OSBPL3/HSD17B6/SLC7A11/PRKG2/ADH1B/ADH1A/ADH1C/GCNT4/GCH1/TGFB2/PLB1/CYP24A1/CUBN/DIO2/NPC1L1/CH25H/SNCAIP/PER2/CYP19A1/HSD11B2/GRIN2A/SCARF1/PLCG2/APOB/MAOB	39
GO:0060415	muscle tissue morphogenesis	9/686	43/12179	0.000542163679264397	0.0120002620554707	0.00938122611597483	ADARB1/WNT2/COL11A1/S1PR1/TGFB2/NRG1/FGFR2/PKP2/CHD7	9
GO:0050886	endocrine process	10/686	52/12179	0.000552589025796548	0.0121682937270276	0.00951258517282154	INHBB/RAB11FIP1/C1QTNF1/OXTR/CORIN/LEP/AGT/TRPV6/CYP19A1/HSD11B2	10
GO:0006584	catecholamine metabolic process	8/686	35/12179	0.000589004564353743	0.0128385055803806	0.0100365244762174	MAOA/ABAT/GPR37/GCH1/TGFB2/SNCAIP/GRIN2A/MAOB	8
GO:0009712	catechol-containing compound metabolic process	8/686	35/12179	0.000589004564353743	0.0128385055803806	0.0100365244762174	MAOA/ABAT/GPR37/GCH1/TGFB2/SNCAIP/GRIN2A/MAOB	8
GO:0046942	carboxylic acid transport	25/686	219/12179	0.000598839810628713	0.0129869603375742	0.0101525792455873	SLC6A6/SLC6A9/ACSL1/SLC7A14/IRS2/CRABP2/ABAT/PLA2G4A/LEP/SLC16A12/SLC5A6/SLC7A6/SLC7A11/SLC38A2/P2RX7/BDKRB2/THBS1/SLC51B/PER2/ADORA1/FABP4/PTGS2/SLC7A5/FOLR3/RBP1	25
